0.01000 0.00001 0.00000 0.81960 0.02180 0.74560 0.02970 0.74670 0.02290 0.56340 0.10740
0.01000 0.00001 1.00000 0.83790 0.02620 0.78810 0.02870 0.76860 0.02800 0.62480 0.14350
0.01000 0.00001 1.50000 0.85530 0.01200 0.80700 0.01550 0.79030 0.01330 0.73630 0.16730
0.01000 0.00001 2.00000 0.85120 0.01570 0.80140 0.02230 0.77550 0.02330 0.75400 0.17970
0.01000 0.00001 2.50000 0.84730 0.01320 0.79470 0.02110 0.76200 0.02150 0.85920 0.22270
0.01000 0.00001 3.00000 0.84710 0.01550 0.78740 0.01170 0.74510 0.01280 0.91540 0.18800
0.01000 0.00010 0.00000 0.83390 0.02220 0.75670 0.02320 0.75400 0.01670 0.49570 0.10490
0.01000 0.00010 1.00000 0.85330 0.01830 0.80160 0.02120 0.78860 0.01370 0.59670 0.12010
0.01000 0.00010 1.50000 0.85850 0.01110 0.81270 0.02600 0.79310 0.02200 0.72170 0.14500
0.01000 0.00010 2.00000 0.86020 0.01240 0.80990 0.01760 0.78790 0.01330 0.74460 0.13260
0.01000 0.00010 2.50000 0.84950 0.01550 0.79840 0.01810 0.76400 0.01720 0.82580 0.19610
0.01000 0.00010 3.00000 0.85210 0.01370 0.78690 0.02090 0.74620 0.01930 0.83210 0.17100
0.01000 0.00100 0.00000 0.83200 0.02730 0.76440 0.02230 0.75390 0.01620 0.58210 0.13150
0.01000 0.00100 1.00000 0.85820 0.01150 0.80930 0.01600 0.79390 0.01100 0.61650 0.14710
0.01000 0.00100 1.50000 0.86960 0.01550 0.82120 0.02280 0.80000 0.01880 0.71860 0.23810
0.01000 0.00100 2.00000 0.86680 0.01030 0.82270 0.01470 0.79750 0.01310 0.77480 0.15460
0.01000 0.00100 2.50000 0.86160 0.01300 0.80780 0.01720 0.77070 0.01930 0.83100 0.14570
0.01000 0.00100 3.00000 0.85900 0.01270 0.80040 0.01600 0.75350 0.01390 0.92580 0.22490
0.01000 0.01000 0.00000 0.76770 0.04590 0.72690 0.02500 0.71270 0.03870 0.65820 0.12960
0.01000 0.01000 1.00000 0.84490 0.01740 0.79030 0.02510 0.78170 0.02000 0.67790 0.15680
0.01000 0.01000 1.50000 0.84330 0.00970 0.79800 0.01270 0.78430 0.00910 0.72600 0.15040
0.01000 0.01000 2.00000 0.84520 0.01000 0.79530 0.01220 0.77890 0.01350 0.82480 0.14930
0.01000 0.01000 2.50000 0.84520 0.00990 0.79360 0.01280 0.76110 0.01660 0.86440 0.16000
0.01000 0.01000 3.00000 0.83740 0.01370 0.77420 0.01600 0.73670 0.01570 0.91230 0.22080
0.00100 0.00001 0.00000 0.84560 0.02680 0.77900 0.03520 0.78020 0.02650 0.61650 0.16280
0.00100 0.00001 1.00000 0.87540 0.00770 0.81880 0.01230 0.80740 0.01280 0.46130 0.14420
